Project,Location,Abstract,URL,Latitude,Longitude,Species,Publication Type,Author,Year,Publication,Key Words,type,Path
A collaborative approach to bridging the gap between managers and researchers in the wildlife profession,,"Although most wildlife professionals agree that science should inform wildlife management decisions, disconnect still exists between researchers and managers. If researchers are not striving to incorporate their findings into management decisions, support for research programs by managers can wane. If managers are not using research findings to inform management decisions, those decisions may be less effective or more vulnerable to legal challenges. Both of these situations can have negative consequences for wildlife conservation. We outline a collaborative research-management approach to bridging the gap between wildlife managers and researchers. We describe differences in perspectives, perceptions, and priorities between managers and researchers; outline how and why the divide between researchers and managers has likely occurred and continues to grow; and present specific strategies and recommendations to foster stronger collaborations between managers and researchers. We advocate increased synergy between managers and researchers based on a shared vision of conservation and a collaborative structure that rewards researchers and managers. Most importantly, we suggest that relationships and communication between managers and researchers must be established early in research development and decision-making processes, fostering the trust needed for collaboration. Institutions and agencies can facilitate these relationships by creating opportunities and incentives for integrating collaborative research into management decisions. We suggest this approach will strengthen ties between researchers and managers, increase relevance of research to management decisions, promote effectiveness of management decisions, reduce legal challenges, and ultimately produce positive, tangible, and lasting effects on wildlife conservation.",https://doi.org/10.1002/jwmg.21759,43.075395,-107.285213,,Review Paper,,2019,Journal of Wildlife Management,,generalized,images/wildlifemanagement.png
A statistical framework for          modeling migration corridors,Central Idaho &  Western Wyoming,"Management of animal populations requires spatially explicit knowledge of movement corridors, such as those used during seasonal migrations. Global Positioning System (GPS) tracking data allow for mapping of corridors from directly observed movements, but such tracking data are absent for many populations.We developed a novel statistical corridor modelling approach that predicts movement corridors from cost-distance models fit directly to migration tracking data. Unlike existing predictive approaches, this does not require the ad hoc transformation of habitat suitability surfaces into resistance surfaces. We tested the ability of the approach to recover parameters used to generate simulated movements. We then used GPS data from three migrating mule deer Odocoileus hemionus herds in Idaho and Wyoming to model corridors as a function of elevation, slope, aspect, percent shrub, date of peak green-up, snow-off date and human footprint. We assessed the predictive ability of the fitted models using validation tracks from the same herd as well as from the other herds.",https://doi.org/10.1111/2041-210X.13969,42.310646,-109.602909,Mule Deer,Research Paper,"Tristan A. Nu_ez,_Mark A. Hurley,_Tabitha A. Graves,_Anna C. Ortega,_Hall Sawyer,_Julien Fattebert,_Jerod A. Merkle,_Matthew J. Kauffman",2022,Methods in Ecology and Evolution,"corridor ecology, corridor prediction, cost-distance modelling, maximum likelihood, migration ecology, movement ecology, optimization, statistical corridor modelling",estimated,images/EcologyEvolutionApplied.png
An experimental test of community-based strategies for mitigating human_wildlife conflict around protected areas,Mozambique's Gorongosa National Park,"Natural habitats are rapidly being converted to cultivated croplands, and crop-raiding by wildlife threatens both wildlife conservation and human livelihoods worldwide. We combined movement data from GPS-collared elephants with camera-trap data and local reporting systems in a before_after-control-impact design to evaluate community-based strategies for reducing crop raiding outside Mozambique's Gorongosa National Park. All types of experimental fences tested (beehive, chili, beehive and chili combined, and procedural controls) significantly reduced the number of times elephants left the Park to raid crops. However, placing beehive fences at a subset of key crossing locations reduced the odds that elephants would leave the Park by up to 95% relative to unfenced crossings, and was the most effective strategy. Beehive fences also created opportunities for income generation via honey production. Our results provide experimental evidence that working with local communities to modify both animal behavior and human attitudes can mitigate conflict at the human_wildlife interface.",https://doi.org/10.1111/conl.12679,-18.831511,34.491055,Elephant,Research Paper,,2019,Conservation Letters,,generalized,images/ConservationLetters.png
Antipredator response of moose diminishes during periods of resource deficit,Greater Yellowstone,"The starvation_predation hypothesis predicts that, during resource shortages, prey forego antipredator behavior and forage as much as possible to avoid starvation, even when risk of predation is high. We tested this hypothesis using GPS locations collected simultaneously from moose (Alces alces) and wolves (Canis lupus) in the Greater Yellowstone Ecosystem of North America. We assessed shifts in the speed, displacement, and habitat selection of moose 24_h following encounter with wolves (0_1,500_m distance). We examined whether the strength of antipredator behaviors would weaken as winter progressed and the nutritional condition of moose declined. Moose responded to wolf encounters by increasing their rate of movement in early winter, but only within 500_m distance. Importantly, these responses attenuated as winter progressed. Moose did not avoid their preferred foraging habitat (riparian areas) following encounters with wolves at any distance, and instead they more strongly selected riparian areas, especially in early winter. Our findings support theoretical predictions that resource deficits should dampen prey antipredator behavior, and suggest that nutritional condition of prey may buffer against run-away risk effects in food webs involving large mammalian predators and prey.",https://doi.org/10.1002/ecy.2618,44.476143,-110.599396,"Moose, Wolves",Research Paper,,2019,Ecology,,estimated,images/Ecology.png
Bark Beetle-affected forests provide only a marginal refuge from hunters,,"For nearly 2 decades, the forests of the Rocky Mountains in the United States experienced a bark-beetle (Dendoctronus ponderosae) epidemic. The number of dead and falling trees from this epidemic likely will affect how elk (Cervus canadensis) and hunters use the forest and their interactions. Downed trees potentially create a component of refuge habitat that could affect the effectiveness of hunting to regulate abundance of growing elk populations. We evaluated how forests affected by bark beetles in south-central Wyoming, USA, influenced resource selection of 50 female elk and 374 hunters in 2012_2016, and interactions between elk and hunters. We employed global positioning system (GPS) technology on elk and hunters, and developed a satellite-derived land classification specifically depicting beetle-affected forests. We tested the predictions that elk would increase use of beetle-killed areas from summer to the hunting season, and that hunters would avoid beetle-killed areas regardless of elk use. Elk increased use of beetle-killed areas during hunting seasons as did hunters during the archery season; however, during the rifle season, hunters avoided beetle-killed areas. Nevertheless, during the rifle season, areas of beetle-kill with a high probability of elk occurrence dampened the aversion hunters had towards beetle-killed areas. Therefore, in contrast to our expectations, forests that have been altered by the bark-beetle epidemic may only function marginally as a refuge for elk. Our study area was at the beginning of the tree-fall phase (i.e., ~3_7_yr after peak infestation) of the bark-beetle epidemic; thus, future research efforts should focus on how a continued increase in downed trees will influence interactions between elk and hunters. At current levels of tree fall, however, beetle-kill should not limit the ability of managers to regulate elk herds through harvest.",https://doi.org/10.1002/jwmg.21814,41.152166,-107.434023,Elk,Research Paper,,2020,Journal of Wildlife Management,,estimated,images/wildlifemanagement.png
Behavioral adaptations of a large carnivore to human activity in an extremely arid landscape,Israel,"Driven by the availability of food subsidies and landscape transformation, large carnivore populations are increasingly inhabiting the vicinity of humans. To persist in human proximity, while avoiding conflict and mortality, they must make adjustments in their spatial behavior. Understanding such behavioral adaptations can be crucial to formulate conservation strategies. We used GPS location data to study the movement and space use of protected Arabian wolves in the extremely arid Negev Desert (Israel), where natural prey densities are reduced. We examined wolf preference for the proximity of human infrastructure, while testing the hypothesis that wolves would use areas where ungulates were more likely to occur. Wolves showed a strong spatial association with humans, spending a large proportion of their time in proximity of human infrastructure and moving primarily along roads. Wolves also increased their movement during the night. In addition, wolves that had higher availability of human infrastructure in their home ranges showed increased selection for such features, suggesting a positive functional response. Finally, wolves did not show preference for areas of high ungulate occurrence at either spatial scale. These findings, combined with recent diet analyses, indicate that wolves rely on human subsidies, proportioned by the availability of garbage and agricultural produce. Our results demonstrate that wolves fine-tune their space use to persist in the vicinity of humans. Additional conditions that enable such persistence include effective legal protection and positive local attitudes toward wolves. We conclude that such circumstances can promote spatial coexistence of humans and large carnivores. The strong observed spatial association and evident dietary dependence of wolves on subsidies from a low-density human population may also reflect the conditions that led to dog domestication.",https://doi.org/10.1111/acv.12414,30.713817,34.875723,Wolves,Research Paper,,2018,Animal Conservation,,estimated,images/AnimalConservation.png
Body size and digestive system shape resource selection by ungulates: a cross-taxa test of the Forage Maturation Hypothesis,,"The forage maturation hypothesis (FMH) states that energy intake for ungulates is maximised when forage biomass is at intermediate levels. Nevertheless, metabolic allometry and different digestive systems suggest that resource selection should vary across ungulate species. By combining GPS relocations with remotely sensed data on forage characteristics and surface water, we quantified the effect of body size and digestive system in determining movements of 30 populations of hindgut fermenters (equids) and ruminants across biomes. Selection for intermediate forage biomass was negatively related to body size, regardless of digestive system. Selection for proximity to surface water was stronger for equids relative to ruminants, regardless of body size. To be more generalisable, we suggest that the FMH explicitly incorporate contingencies in body size and digestive system, with small-bodied ruminants selecting more strongly for potential energy intake, and hindgut fermenters selecting more strongly for surface water.",https://doi.org/10.1111/ele.13848,,,,Research Paper,"Esmaeili, S., B.R. Jesmer, S.E. Albeke, E.O. Aikens, K.A. Schoenecker, S.R.B. King, B. Abrahms, B Buuveibaatar, J.L. Beck, R.B. Boone, F. Cagnacci, S. Chamaill_-Jammes, B. Chimeddorj, P.C. Cross, N. Dejid, J. Enkhbyar, I.R. Fischhoff, A.T. Ford, K. Jenks, M-R. Hemami, J.D. Hennig, T.Y. Ito, P. Kaczensky, M.J. Kauffman, J.D.C. Linnell, B. Lkhagvasuren, J.F. McEvoy, J. Melzheimer,_J.A. Merkle, T. Mueller, J. Muntifering, A. Mysterud, K.A. Olson, M. Panzacchi, J.C. Payne, L. Pedrotti, G.R. Rauset, D.I. Rubenstein, H. Sawyer, J.D. Scasta, J. Signer, M. Songer, J.A. Stabach, S. Stapleton, O. Strand, S.R. Sundaresan, D. Usukhjargal, G. Uuganbayar, J.M. Fryxell, J.R. Goheen",2021,Ecology Letters,,estimated,images/EcologyLetters.png
Chronic Wasting Disease Undermines Efforts to Control the Spread of Brucellosis in the Greater Yellowstone Ecosystem,Greater Yellowstone,"Wildlife diseases pose a substantial threat to the provisioning of ecosystem services. We use a novel modeling approach to study the potential loss of these services through the imminent introduction of chronic wasting disease (CWD) to elk populations in the Greater Yellowstone Ecosystem (GYE). A specific concern is that concentrating elk at feedgrounds may exacerbate the spread of CWD, whereas eliminating feedgrounds may increase the number of elk on private ranchlands and the transmission of a second disease, brucellosis, from elk to cattle. To evaluate the consequences of management strategies given the threat of two concurrent wildlife diseases, we develop a spatiotemporal bioeconomic model. GPS data from elk and landscape attributes are used to predict migratory behavior and population densities with and without supplementary feeding. We use a 4,800 km2_area around Pinedale, Wyoming containing four existing feedgrounds as a case study. For this area, we simulate welfare estimates under a variety of management strategies. Our results indicate that continuing to feed elk could result in substantial welfare losses for the case-study region. Therefore, to maximize the present value of economic net benefits generated by the local elk population upon CWD's arrival in the region, wildlife managers may wish to consider discontinuing elk feedgrounds while simultaneously developing new methods to mitigate the financial impact to ranchers of possible brucellosis transmission to livestock. More generally, our methods can be used to weigh the costs and benefits of human-wildlife interactions in the presence of multiple disease risks.",10.1002/eap.2129,44.640728,-110.58186,Elk,Research Paper,,2020,Ecological Applications,Greater Yellowstone Ecosystem; brucellosis; chronic wasting disease; cost-benefit analysis; elk feedgrounds; spatiotemporal models.,estimated,images/EcologicalApplications.png
Collective decision-making promotes fitness loss in a fusion-fission society,Canada,"While collective decision-making is recognised as a significant contributor to fitness in social species, the opposite outcome is also logically possible. We show that collective movement decisions guided by individual bison sharing faulty information about habitat quality promoted the use of ecological traps. The frequent, but short-lived, associations of bison with different spatial knowledge led to a population-wide shift from avoidance to selection of agricultural patches over 9_years in and around Prince Albert National Park, Canada. Bison were more likely to travel to an agricultural patch for the first time by following conspecifics already familiar with agricultural patches. Annual adult mortality increased by 12% due to hunting of bison on agricultural lands. Maladaptive social behaviour accordingly was a major force that contributed to a ~50% population decline in less than a decade. In human-altered landscapes, social learning by group-living species can lead to fitness losses, particularly in fusion-fission societies.",https://doi.org/10.1111/ele.12698,53.949144,-106.400841,Bison,Research Paper,,2017,Ecology Letters,,estimated,images/EcologyLetters.png
Comparative quality and trend of remotely sensed forage phenology and productivity metrics across the Western United States,Western States,"Vegetation phenology and productivity play a crucial role in surface energy balance, plant and animal distribution, and animal movement and habitat use and can be measured with remote sensing metrics including start of season (SOS), peak instantaneous rate of green-up date (PIRGd), peak of season (POS), end of season (EOS), and integrated vegetation indices. However, for most metrics, we do not yet understand the agreement of remotely sensed data products with near-surface observations. We also need summaries of changes over time, spatial distribution, variability, and consistency in remote sensing dataset metrics for vegetation timing and quality. We compare metrics from 10 leading remote sensing datasets against a network of PhenoCam near-surface cameras throughout the western United States from 2002 to 2014. Most phenology metrics representing a date (SOS, PIRGd, POS, and EOS), rather than a duration (length of spring, length of growing season), better agreed with near-surface metrics but results varied by dataset, metric, and land cover, with absolute value of mean bias ranging from 0.38 (PIRGd) to 37.92 days (EOS). Datasets had higher agreement with PhenoCam metrics in shrublands, grasslands, and deciduous forests than in evergreen forests. Phenology metrics had higher agreement than productivity metrics, aside from a few datasets in deciduous forests. Using two datasets covering the period 1982_2016 that best agreed with PhenoCam metrics, we analyzed changes over time to growing seasons. Both datasets exhibited substantial spatial heterogeneity in the direction of phenology trends. Variability of metrics increased over time in some areas, particularly in the Southwest. Approximately 60% of pixels had consistent trend direction between datasets for SOS, POS, and EOS, with the direction varying by location. In all ecoregions except Mediterranean California, EOS has become later. This study comprehensively compares remote sensing datasets across multiple growing season metrics and discusses considerations for applied users to inform their data choices.",_https://doi.org/10.3390/rs12162538,,,,Research Paper,,2020,Remote Sensing,,estimated,images/EcologyLetters.png
